fracyear,mjd,B_GEO,V_GEO,OSF_GEO,phi_geo_AU2016 [MV],phi_geo_AU2016_min [MV],phi_geo_AU2016_max [MV],phi_geo [MV],phi_geo_min [MV],phi_geo_max [MV]
1845.4945205479453,-4887.5,5.862410860655738,369.7594603825136,6.011583215350271,525.2669815247993,450.48241351838385,600.0515495312148,536.4583465798223,462.9678302152011,587.5661328343976
1846.4945205479453,-4522.5,6.165388698630137,402.1174657534247,6.739942470682111,618.9393220506946,544.5070176238631,693.3716264775261,661.7149440500388,556.8803298801465,680.9983142212427
1847.4945205479453,-4157.5,7.449929794520548,371.5662671232877,7.977202668933781,701.5475426927281,627.0656784086909,776.0294069767654,767.9489653406679,639.2140871763829,763.8809982090734
1848.4954462659384,-3791.6666666666665,7.592171232876712,392.6650114155252,8.443298813278211,788.2983558342071,713.4016760323566,863.1950356360576,789.045956023248,725.8584964323838,850.7382152360303
1849.4945205479453,-3426.5,6.816685450819672,371.2852800546448,7.198297292685506,700.3675476382598,625.8887712684391,774.8463240080805,693.5445624237127,638.2722930191632,762.4628022573564
1850.4945205479453,-3061.5,6.196299657534246,375.5614726027397,6.487485860907102,630.0837334196357,555.6644836056803,704.5029832335911,630.0284255488905,568.0216379534139,692.1458288858574
1851.4945205479453,-2696.5,6.515200342465754,387.39811643835617,7.021249683945943,654.922552300836,580.5102427980637,729.3348618036082,652.8344343416851,592.8666364990704,716.9784681026015
1852.4954462659384,-2330.6666666666665,6.314287100456621,480.90981735159824,7.666129979572881,693.8106667880795,619.3477943895098,768.2735391866493,681.3151355546264,631.7340110132899,755.8873225628691
1853.4945205479453,-1965.5,6.333820696721311,417.352424863388,7.114197127084717,637.8936136789207,563.4798433777581,712.3073839800833,633.6363925369644,575.8338453462067,699.9533820116347
1854.4945205479453,-1600.5,5.639993150684932,429.1929794520548,6.313855085653735,561.3970146020376,486.79952244402364,635.9945067600516,574.6796451386251,499.2357229200745,623.5583062840008
1855.4945205479453,-1235.5,5.073837328767123,411.652397260274,5.422956003952394,480.2687128472228,405.16207017633826,555.3753555181073,514.1159173853832,417.8628927782753,542.6745329161703
1856.4954462659384,-869.6666666666666,4.96565296803653,347.3055936073059,4.695556486245803,422.0685793019292,346.40081538991967,497.73634321393877,468.8917026362527,359.38842919377606,484.7487294100824
1857.4945205479453,-504.5,5.705621926229508,365.2420423497268,5.771171088347992,544.8882602055318,470.2132329220332,619.5632874890302,562.2018946536429,482.6881733174539,607.0883470936096
1858.4945205479453,-139.5,6.858102739726028,389.2936643835616,7.474948992929772,719.4255655221345,644.88849777604,793.9626332682291,712.8328529281976,657.2891570042322,781.561974040037
1859.4945205479453,225.5,8.19553595890411,361.5414383561644,8.733762250912095,809.0839534045593,734.0332542485332,884.1346525605854,817.5197568487615,746.4735070095883,871.6943997995304
1860.4954462659384,591.3333333333334,7.900933789954338,367.361700913242,8.467812657655026,719.9273846952326,645.3885397286093,794.4662296618559,785.8147601573032,657.5049284570022,782.349840933463
1861.4945205479453,956.5,7.190104849726776,375.7282786885246,7.715352337749135,666.5851096898773,592.1655043345127,741.0047150452419,706.2148590866863,604.4644505064405,728.7057688733141
1862.4945205479453,1321.5,6.823116438356164,409.1123287671232,7.661642497127784,648.6230128594835,574.2118388380992,723.0341868808679,660.3156340517044,586.56470939421,710.6813163247571
1863.4945205479453,1686.5,6.506705479452054,438.4491438356165,7.552768835163184,630.3831813444206,555.9641973771592,704.802165311682,618.3768796023908,568.3101077608713,692.4562549279698
1864.4954462659384,2052.333333333333,6.259544520547945,442.277397260274,7.257751763238676,598.2690278892293,523.7962223079627,672.7418334704959,566.6140173791456,536.0833481365917,660.4547076418669
1865.4945205479453,2417.5,6.104323428961749,471.94470628415297,7.302178851341307,591.23975239604,516.7483560113296,665.7311487807503,535.6861312745369,528.9372345466461,653.5422702454339
1866.4945205479453,2782.5,5.821431506849315,449.4960616438356,6.730056288696691,541.4034669005516,466.7103621531967,616.0965716479066,490.98838345640786,478.8670851906342,603.9398486104691
1867.4945205479453,3147.5,5.435313356164384,414.2030821917808,5.91408984314974,478.7156047640254,403.59609461443597,553.8351149136148,452.28920766911136,415.91527797445656,541.5159315535942
1868.4954462659384,3513.333333333333,6.327343036529681,404.1615296803653,6.969067157943604,574.7933415449021,500.2489097253615,649.3377733644427,544.9224919922659,512.5295841284344,637.0570989613698
1869.4945205479453,3878.5,7.634789275956284,389.62465846994536,8.45604019540205,705.1001902528203,630.608613423682,779.5917670819587,731.539208388249,642.9100751533025,767.2903053523381
1870.4945205479453,4243.5,9.004270547945206,364.2183219178082,9.756478886589276,785.6950043520999,710.8161371263348,860.573871577865,884.7478901901145,722.5602844098258,848.8297242943739
1871.4945205479453,4608.5,8.845472602739726,361.2239726027397,9.513313002611245,847.9151603043646,772.5208960778868,923.3094245308423,861.539828051043,784.98055835535,910.8497622533791
1872.4954462659384,4974.333333333333,8.644261986301371,385.446803652968,9.662606657295418,853.7284408826747,778.2765308376356,929.1803509277138,854.4747809025864,790.8507726337325,916.6061091316169
1873.4945205479453,5339.5,6.934711407103825,405.6275273224044,7.765451081055103,724.3630121447595,649.8079180186156,798.9181062709034,716.042526405479,662.2183530170805,786.5076712724385
1874.4945205479453,5704.5,6.35686301369863,357.7152397260274,6.468168420089188,615.2668430537649,540.8288884321578,689.704797675372,619.0801237706678,553.1945819941557,677.3391041133741
1875.4945205479453,6069.5,5.076018835616439,357.20085616438354,4.927079859916562,475.39645505566983,400.24905613231164,550.5438539790281,504.2644583165641,412.9375191770619,537.8553909342777
